Sl. No.,State/UT,2019-20 - Government Schools,2019-20 - Enrollment,2020-21 - Government Schools,2020-21 - Enrollment,2021-22 - Government Schools,2021-22 - Enrollment
1,Andaman and Nicobar Islands,342,51905,342,49943,342,51168
2,Andhra Pradesh,45115,4042535,45145,4627208,45137,4696207
3,Arunachal Pradesh,3056,213421,3061,234914,2985,233908
4,Assam,47157,5031895,46749,5097436,45490,5277671
5,Bihar,72610,19579263,75555,20874968,75558,21989445
6,Chandigarh,121,152561,121,153489,123,165156
7,Chhattisgarh,48547,4000147,48619,4042244,48743,4262053
8,Dadra and Nagar Haveli,300,61015,407,84162,388,91026
9,Daman and Diu,109,22139,NA,NA,NA,NA
10,Delhi,2767,2409441,2751,2542240,2762,2796676
11,Goa,827,43547,821,42857,814,42932
12,Gujarat,35040,5295130,34967,5334822,34699,5570875
13,Haryana,14484,2131579,14563,2232333,14562,2602484
14,Himachal Pradesh,15398,851783,15391,847735,15380,900749
15,Jammu and Kashmir,23165,1271045,23167,1324301,23173,1473368
16,Jharkhand,35931,4810045,35888,4873009,35840,5242868
17,Karnataka,49834,4906231,49791,5031606,49679,5445989
18,Kerala,5014,1725686,5020,1757209,5010,1862020
19,Ladakh,913,27072,915,28744,838,29312
20,Lakshadweep,45,12606,45,13114,38,13586
21,Madhya Pradesh,99411,9119353,99152,8904779,92695,9429734
22,Maharashtra,65886,5646319,65734,5594726,65639,5853094
23,Manipur,2876,199958,2878,201758,2889,216636
24,Meghalaya,7799,478070,7795,482425,7783,477232
25,Mizoram,2552,127509,2558,132230,2563,143345
26,Nagaland,2011,174882,1975,171747,1960,170219
27,Odisha,53260,5514876,50256,5213350,49072,5255198
28,Puducherry,422,83809,422,87867,422,97368
29,Punjab,19377,2686786,19330,2876825,19259,3090436
30,Rajasthan,67660,8521720,68813,8955632,68948,9912280
31,Sikkim,851,89876,851,85980,864,84411
32,Tamil Nadu,37579,4593422,37589,4775207,37636,5314845
33,Telangana,30001,2837635,30015,2896974,30023,3303699
34,Tripura,4275,562047,4265,536724,4262,542892
35,Uttar Pradesh,137638,16857549,137068,17576345,137024,19056651
36,Uttarakhand,16741,941454,16651,916631,16484,980808
37,West Bengal,83456,15857323,83379,16303026,83302,16564139
India,India,1032570,130931634,1032049,134904560,1022386,143240480
